Customer_Key,Total_Number_of_Calls,AHT,Contract_End_Date,Call_Date,Product_Type,Product_Status,Customer_Type
1,1,403.9842941,01/10/2025,18/01/2022,Product 2,Status 3,Type 2
2,1,597.65626,26/03/2025,26/06/2021,Product 3,Status 2,Type 2
3,2,80.78323421,30/09/2021,13/07/2021,Product 4,Status 4,Type 3
4,1,529.5982673,22/03/2026,15/12/2021,Product 3,Status 3,Type 2
5,2,548.5028019,01/04/2021,30/03/2021,Product 1,Status 2,Type 1
6,1,302.8137511,24/09/2021,27/09/2021,Product 2,Status 2,Type 1
7,1,-74.41749287,18/03/2020,23/03/2020,Product 1,Status 4,Type 1
8,1,542.0426203,20/12/2026,06/11/2020,Product 2,Status 3,Type 2
9,1,456.1259051,18/11/2025,18/11/2021,Product 2,Status 2,Type 2
10,1,160.1141212,02/04/2022,13/12/2021,Product 4,Status 2,Type 3
11,2,275.3230864,09/01/2021,15/01/2021,Product 1,Status 4,Type 1
12,2,697.5718653,04/03/2021,08/03/2021,Product 1,Status 4,Type 1
13,1,131.7251132,28/02/2022,24/11/2021,Product 4,Status 4,Type 3
14,5,167.62817,21/01/2021,21/01/2021,Product 1,Status 2,Type 1
15,1,450.6387954,18/03/2020,23/03/2020,Product 1,Status 1,Type 1
16,2,384.5898358,27/03/2021,31/03/2021,Product 2,Status 3,Type 1
17,1,381.9210836,25/07/2021,27/07/2021,Product 2,Status 1,Type 1
18,1,128.4608315,20/01/2020,24/01/2020,Product 1,Status 2,Type 1
19,1,504.3014546,16/03/2025,30/11/2020,Product 1,Status 3,Type 2
20,3,379.5271238,17/01/2021,19/01/2021,Product 2,Status 4,Type 1
21,1,125.172324,29/10/2021,01/11/2021,Product 1,Status 4,Type 1
22,3,530.5494473,29/06/2026,11/10/2021,Product 1,Status 3,Type 2
23,1,370.3346221,06/08/2020,12/08/2020,Product 1,Status 4,Type 1
24,1,531.1129901,29/05/2026,16/12/2020,Product 3,Status 2,Type 2
25,3,420.9834943,20/09/2021,22/09/2021,Product 2,Status 1,Type 1
26,1,300.9723579,16/12/2021,14/12/2021,Product 2,Status 2,Type 1
27,1,524.8261226,27/08/2020,29/08/2020,Product 2,Status 1,Type 1
28,2,585.6918168,21/10/2026,04/08/2021,Product 2,Status 4,Type 2
29,1,256.7332268,30/12/2020,01/01/2021,Product 1,Status 3,Type 1
30,1,669.4439982,19/06/2020,24/06/2020,Product 2,Status 1,Type 1
31,3,586.6129022,26/03/2020,27/03/2020,Product 2,Status 2,Type 1
32,2,281.5776234,03/03/2021,04/03/2021,Product 2,Status 4,Type 1
33,1,239.9064567,11/07/2021,14/07/2021,Product 2,Status 2,Type 1
34,2,212.9093241,21/02/2021,21/02/2021,Product 1,Status 2,Type 1
35,1,142.8744134,27/11/2021,02/09/2021,Product 4,Status 2,Type 3
36,1,137.1476696,26/09/2021,11/07/2021,Product 4,Status 1,Type 3
37,2,571.4151078,10/12/2026,15/03/2020,Product 1,Status 3,Type 2
38,1,174.1123679,13/07/2021,15/07/2021,Product 2,Status 1,Type 1
39,1,566.8065228,03/11/2025,24/04/2020,Product 3,Status 4,Type 2
40,2,461.954335,11/10/2026,17/02/2020,Product 3,Status 1,Type 2
41,1,324.750064,13/04/2020,16/04/2020,Product 2,Status 2,Type 1
42,1,400.9054018,24/10/2021,27/10/2021,Product 2,Status 4,Type 1
43,2,508.779179,09/07/2021,16/07/2021,Product 2,Status 2,Type 1
44,1,444.9959513,07/07/2021,09/07/2021,Product 1,Status 1,Type 1
45,1,360.5852789,14/11/2021,16/11/2021,Product 1,Status 4,Type 1
46,1,468.7198855,09/02/2025,11/09/2021,Product 3,Status 4,Type 2
47,1,524.7069863,28/10/2021,02/11/2021,Product 2,Status 1,Type 1
48,1,203.3880972,07/01/2020,10/01/2020,Product 2,Status 1,Type 1
49,3,444.2149234,17/10/2020,16/10/2020,Product 2,Status 1,Type 1
50,2,707.4905102,08/06/2021,08/06/2021,Product 2,Status 2,Type 1
51,1,517.3559553,03/03/2021,07/03/2021,Product 2,Status 1,Type 1
52,1,112.0089716,19/12/2021,12/09/2021,Product 4,Status 2,Type 3
53,5,476.8344194,25/11/2021,28/11/2021,Product 2,Status 2,Type 1
54,1,342.4905399,24/04/2020,27/04/2020,Product 1,Status 3,Type 1
55,2,461.0964461,28/10/2026,15/03/2021,Product 3,Status 1,Type 2
56,2,451.2812045,11/02/2026,11/05/2021,Product 1,Status 2,Type 2
57,1,470.631077,02/07/2020,04/07/2020,Product 2,Status 3,Type 1
58,2,441.5662394,11/05/2025,27/09/2020,Product 3,Status 2,Type 2
59,1,578.3528866,26/01/2026,19/10/2020,Product 1,Status 2,Type 2
60,2,419.5109439,08/06/2021,13/06/2021,Product 2,Status 4,Type 1
61,2,361.4963447,17/08/2020,23/08/2020,Product 2,Status 1,Type 1
62,2,333.9633883,16/04/2021,23/04/2021,Product 1,Status 3,Type 1
63,1,140.4199291,26/01/2022,11/10/2021,Product 4,Status 3,Type 3
64,1,746.8993961,11/09/2021,09/09/2021,Product 1,Status 2,Type 1
65,1,409.0465894,03/01/2020,03/01/2020,Product 2,Status 3,Type 1
66,1,612.4981595,26/12/2020,30/12/2020,Product 1,Status 4,Type 1
67,1,120.0993231,21/02/2022,21/11/2021,Product 4,Status 4,Type 3
68,1,436.6958698,06/04/2020,06/04/2020,Product 2,Status 3,Type 1
69,1,628.2332945,04/11/2025,24/09/2020,Product 2,Status 1,Type 2
70,2,403.6087692,18/08/2020,21/08/2020,Product 1,Status 4,Type 1
71,1,153.5386563,15/11/2021,15/09/2021,Product 4,Status 3,Type 3
72,1,525.0462326,12/03/2020,18/03/2020,Product 1,Status 1,Type 1
73,1,227.6161698,30/08/2021,01/09/2021,Product 2,Status 2,Type 1
74,1,108.2790875,01/02/2020,04/02/2020,Product 1,Status 3,Type 1
75,1,300.2623045,05/11/2020,08/11/2020,Product 2,Status 3,Type 1
76,1,264.9710278,26/12/2021,28/12/2021,Product 1,Status 4,Type 1
77,1,581.6968104,07/09/2026,02/02/2020,Product 2,Status 3,Type 2
78,2,325.8084004,05/05/2021,05/05/2021,Product 1,Status 1,Type 1
79,2,259.386132,26/06/2020,28/06/2020,Product 2,Status 1,Type 1
80,3,453.0859823,02/01/2025,27/01/2022,Product 3,Status 4,Type 2
81,1,342.5548185,28/12/2020,06/01/2021,Product 1,Status 4,Type 1
82,1,143.0848578,20/02/2021,24/02/2021,Product 2,Status 2,Type 1
83,2,384.5386999,13/12/2021,17/12/2021,Product 2,Status 2,Type 1
84,1,209.2382633,29/05/2020,31/05/2020,Product 2,Status 2,Type 1
85,3,538.8078276,06/06/2020,07/06/2020,Product 1,Status 1,Type 1
86,1,116.4007646,01/12/2021,20/09/2021,Product 4,Status 4,Type 3
87,2,472.2064789,28/04/2020,02/05/2020,Product 1,Status 2,Type 1
88,2,316.0926909,17/09/2021,20/09/2021,Product 1,Status 4,Type 1
89,1,48.65613573,17/04/2022,31/01/2022,Product 2,Status 1,Type 3
90,1,486.3910023,18/06/2020,23/06/2020,Product 1,Status 2,Type 1
91,1,110.1180172,17/04/2022,15/01/2022,Product 2,Status 3,Type 3
92,4,352.0066579,16/08/2021,22/08/2021,Product 1,Status 3,Type 1
93,5,142.0456289,11/08/2021,16/08/2021,Product 2,Status 3,Type 1
94,1,462.954385,13/09/2020,18/09/2020,Product 2,Status 2,Type 1
95,4,348.4082879,20/11/2020,21/11/2020,Product 1,Status 3,Type 1
96,3,240.5524104,02/07/2020,03/07/2020,Product 1,Status 2,Type 1
97,3,184.4572609,06/09/2021,06/09/2021,Product 1,Status 4,Type 1
98,3,599.843525,05/04/2026,07/08/2020,Product 3,Status 3,Type 2
99,1,306.4006744,21/05/2021,23/05/2021,Product 1,Status 4,Type 1
100,2,255.2848927,20/11/2021,22/11/2021,Product 1,Status 3,Type 1
101,2,408.3000416,19/05/2021,21/05/2021,Product 2,Status 3,Type 1
102,1,496.3980762,08/01/2025,08/02/2021,Product 2,Status 1,Type 2
103,2,525.2590199,16/08/2025,31/08/2021,Product 3,Status 4,Type 2
104,2,43.68593133,12/04/2021,14/04/2021,Product 2,Status 4,Type 1
